アース神族
モーメントスライド(命中), Punch.wav
バーチカルレイド, Swing.wav
バーチカルレイド(命中), 1;Slash.wav;Slash.wav
ボルトスラッシュ, Swing.wav
ボルトスラッシュ(命中), Slash.wav
スプレッドショット, Bow.wav
スプレッドショット(命中), Explode(Small).wav
トライブラスト, 1;Bow.wav;Bow.wav
トライブラスト(命中), 2;Saber.wav;Saber.wav
インフィニティブラスト, 1;Bow.wav1;Bow.wav;Bow.wav
インフィニティブラスト(命中), 2;Saber.wav;2;Saber.wav;Saber.wav
ニーベルン・ヴァレスティ(Ａ)(準備), Charge.wav
ニーベルン・ヴァレスティ(Ａ)(命中), 3;Glass.wav;3;Glass.wav;Glass.wav
ニーベルン・ヴァレスティ(Ｓ)(準備), Charge.wav
ニーベルン・ヴァレスティ(Ｓ)(命中), 3;Glass.wav;3;Glass.wav;Glass.wav
クリティカルフレア, Beam.wav
クリティカルフレア(命中), Explode(Small).wav
エリアルバースト, Charge.wav
エリアルバースト(命中), Explode(Small).wav
サンダーソード, Thunder.wav
サンダーソード(命中), Explode(Small).wav
エーテルストライク(準備), Charge.wav
エーテルストライク, Bubble.wav
エーテルストライク(命中), Explode(Nuclear).wav

エインフェリア
スピニングバックナックル, Swing.wav
スピニングバックナックル(命中), Punch.wav
レンチングスイング, Swing.wav
レンチングスイング(命中), Slash.wav
ハイウィンド, Swing.wav
ハイウィンド(命中), Slash.wav
ファイナリティブラスト(準備), Charge.wav
ファイナリティブラスト, Breath.wav
ファイナリティブラスト(命中), 4;Swing.wav;2;Explode.wav;2;Explode.wav;Explode.wav
ロウスイング, Swing.wav
ロウスイング(命中), Stab.wav
エアプレッシャー, Swing.wav
エアプレッシャー(命中), Stab.wav
ビーストタックル, Swing.wav
ビーストタックル(命中), 2;Punch.wav;Stab.wav
ファンネリアブレード(準備), Charge.wav
ファンネリアブレード, Whiz.wav
ファンネリアブレード(命中), 3;Swing.wav;2;Stab.wav;Explode(Small).wav
プラスティックキャノン, 3;BeamCoat.wav;Swing.wav
プラスティックキャノン, 2;Stab.wav;BeamShot.wav
レイザーエッジ, Swing.wav
レイザーエッジ(命中), Stab.wav
モータルレイザー, Swing.wav
モータルレイザー(命中), Slash.wav
アイシクルディザスター(準備), Charge.wav
アイシクルディザスター, Wind.wav
アイシクルディザスター(命中), 3;Swing.wav;2;Sword.wav;Glass.wav
スランティングブロウ, Swing.wav
スランティングブロウ(命中), Slash.wav
エアスラッシュ(命中), Swing.wav
エアスラッシュ, Slash.wav
シャイニングボルト, Thunder.wav
シャイニングボルト(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
ラウンドリップセイバー(準備), Charge.wav
ラウンドリップセイバー, Whiz.wav
ラウンドリップセイバー(命中), 3;Swing.wav;Thunder.wav
ファーストスラッシュ, Swing.wav
ファーストスラッシュ(命中), Slash.wav
ライジングスラッシュ, Swing.wav
ライジングスラッシュ(命中), 2;Slash.wav;Slash.wav
レゾルブクルセイド, Swing.wav
レゾルブクルセイド(命中), Stab.wav
ボイドエクストリーム(準備), Charge.wav
ボイドエクストリーム, BeamSaber.wav
ボイドエクストリーム(命中), 5;Swing.wav;2;Sword.wav;Sword.wav
ハイエンドエッジ, Swing.wav
ハイエンドエッジ(命中), Slash.wav
ラウンドダンス, Swing.wav
ラウンドダンス(命中), Slash.wav
グリムチャージ, Swing.wav
グリムチャージ(命中), Stab.wav
エターナルレイド(準備), Charge.wav
エターナルレイド, Whiz.wav
エターナルレイド(命中), Slash.wav
孤影斬, Swing.wav
孤影斬(命中), Slash.wav
閃光斬, 2;Swing.wav;Swing.wav
閃光斬(命中), 2;Slash.wav;Slash.wav
双円舞, 3;Swing.wav;Swing.wav
双円舞(命中), 3;Slash.wav;Slash.wav
千光刃(準備), Charge.wav
千光刃, Whiz.wav
千光刃(命中), Slash.wav
氷裂波, Saber.wav
氷裂波(命中), Glass.wav
夜叉討ち, 2;Swing.wav;Swing.wav
夜叉討ち(命中), 2;Stab.wav;Stab.wav
肢閃, wing.wav
肢閃(命中), Stab.wav
氷葬方陣(準備), Charge.wav
氷葬方陣, Whiz.wav
氷葬方陣(命中), 3;Glass.wav;3;Glass.wav;3;Glass.wav;Glass.wav
プリゾナーファング, Swing.wav
プリゾナーファング(命中), Stab.wav
プリゾナーファング(クリティカル), BreakOff.wav
スマッシュアックス, Swing.wav
スマッシュアックス(命中), Slash.wav
トライセクトスラスト, 2;Swing.wav;2;Swing.wav;Swing.wav
トライセクトスラスト(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
ジャストストリーム(準備), Charge.wav
ジャストストリーム, Whiz.wav
ジャストストリーム(命中), 3;Swing.wav;Storm.wav
